front_type,front_content,back_type,back_content
text,Albania,text,Tirana
text,Andorra,text,Andorra la Vella
text,Armenia,text,Yerevan
text,Austria,text,Vienna
text,Azerbaijan,text,Baku
text,Belarus,text,Minsk
text,Belgium,text,Brussels
text,Bosnia and Herzegovina,text,Sarajevo
text,Bulgaria,text,Sofia
text,Croatia,text,Zagreb
text,Cyprus,text,Nicosia
text,Czech Republic,text,Prague
text,Denmark,text,Copenhagen
text,Estonia,text,Tallinn
text,Finland,text,Helsinki
text,France,text,Paris
text,Georgia,text,Tbilisi
text,Germany,text,Berlin
text,Greece,text,Athens
text,Hungary,text,Budapest
text,Iceland,text,Reykjavik
text,Ireland,text,Dublin
text,Italy,text,Rome
text,Kazakhstan,text,Nur-Sultan
text,Kosovo,text,Pristina
text,Latvia,text,Riga
text,Liechtenstein,text,Vaduz
text,Lithuania,text,Vilnius
text,Luxembourg,text,Luxembourg
text,Malta,text,Valletta
text,Moldova,text,Chisinau
text,Monaco,text,Monaco
text,Montenegro,text,Podgorica
text,Netherlands,text,Amsterdam
text,North Macedonia,text,Skopje
text,Norway,text,Oslo
text,Poland,text,Warsaw
text,Portugal,text,Lisbon
text,Romania,text,Bucharest
text,Russia,text,Moscow
text,San Marino,text,San Marino
text,Serbia,text,Belgrade
text,Slovakia,text,Bratislava
text,Slovenia,text,Ljubljana
text,Spain,text,Madrid
text,Sweden,text,Stockholm
text,Switzerland,text,Bern
text,Turkey,text,Ankara
text,Ukraine,text,Kyiv
text,United Kingdom,text,London
text,Vatican City,text,Vatican City
