front_type,front_content,back_type,back_content
text,Albania,image,https://upload.wikimedia.org/wikipedia/commons/6/66/Albania_in_Europe_%28-rivers_-mini_map%29.svg
text,Andorra,image,https://upload.wikimedia.org/wikipedia/commons/9/91/Andorra_in_Europe_%28-rivers_-mini_map%29.svg
text,Armenia,image,https://upload.wikimedia.org/wikipedia/commons/5/5a/Armenia_in_Europe_%28-rivers_-mini_map%29.svg
text,Austria,image,https://upload.wikimedia.org/wikipedia/commons/8/89/Austria_in_Europe_%28-rivers_-mini_map%29.svg
text,Azerbaijan,image,https://upload.wikimedia.org/wikipedia/commons/7/7f/Azerbaijan_in_Europe_%28-rivers_-mini_map%29.svg
text,Belarus,image,https://upload.wikimedia.org/wikipedia/commons/6/69/Belarus_in_Europe_%28-rivers_-mini_map%29.svg
text,Belgium,image,https://upload.wikimedia.org/wikipedia/commons/6/64/Belgium_in_Europe_%28-rivers_-mini_map%29.svg
text,Bosnia,image,https://upload.wikimedia.org/wikipedia/commons/5/53/Bosnia_and_Herzegovina_in_Europe_%28-rivers_-mini_map%29.svg
text,Bulgaria,image,https://upload.wikimedia.org/wikipedia/commons/a/a1/Bulgaria_in_Europe_%28-rivers_-mini_map%29.svg
text,Croatia,image,https://upload.wikimedia.org/wikipedia/commons/3/3b/Croatia_in_Europe_%28-rivers_-mini_map%29.svg
text,Cyprus,image,https://upload.wikimedia.org/wikipedia/commons/8/89/Cyprus_in_Europe_%28-rivers_-mini_map%29.svg
text,Czech Republic,image,https://upload.wikimedia.org/wikipedia/commons/a/a4/Czech_Republic_in_Europe_%28-rivers_-mini_map%29.svg
text,Denmark,image,https://upload.wikimedia.org/wikipedia/commons/0/0d/Denmark_in_Europe_%28-rivers_-mini_map%29.svg
text,Estonia,image,https://upload.wikimedia.org/wikipedia/commons/3/32/Estonia_in_Europe_%28-rivers_-mini_map%29.svg
text,Finland,image,https://upload.wikimedia.org/wikipedia/commons/e/ef/Finland_in_Europe_%28-rivers_-mini_map%29.svg
text,France,image,https://upload.wikimedia.org/wikipedia/commons/8/89/France_in_Europe_%28-rivers_-mini_map%29.svg
text,Georgia,image,https://upload.wikimedia.org/wikipedia/commons/f/fd/Georgia_in_Europe_%28-rivers_-mini_map%29.svg
text,Germany,image,https://upload.wikimedia.org/wikipedia/commons/7/74/Germany_in_Europe_%28-rivers_-mini_map%29.svg
text,Greece,image,https://upload.wikimedia.org/wikipedia/commons/2/2a/Greece_in_Europe_%28-rivers_-mini_map%29.svg
text,Hungary,image,https://upload.wikimedia.org/wikipedia/commons/7/7d/Hungary_in_Europe_%28-rivers_-mini_map%29.svg
text,Iceland,image,https://upload.wikimedia.org/wikipedia/commons/5/55/Iceland_in_Europe_%28-rivers_-mini_map%29.svg
text,Ireland,image,https://upload.wikimedia.org/wikipedia/commons/0/05/Ireland_in_Europe_%28-rivers_-mini_map%29.svg
text,Italy,image,https://upload.wikimedia.org/wikipedia/commons/e/e7/Italy_in_Europe_%28-rivers_-mini_map%29.svg
text,Kazakhstan,image,https://upload.wikimedia.org/wikipedia/commons/2/24/Kazakhstan_in_Europe_%28-rivers_-mini_map%29.svg
text,Kosovo,image,https://upload.wikimedia.org/wikipedia/commons/7/71/Kosovo_in_Europe_%28-rivers_-mini_map%29.svg
text,Latvia,image,https://upload.wikimedia.org/wikipedia/commons/2/22/Latvia_in_Europe_%28-rivers_-mini_map%29.svg
text,Liechtenstein,image,https://upload.wikimedia.org/wikipedia/commons/5/52/Liechtenstein_in_Europe_%28-rivers_-mini_map%29.svg
